control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	FDR	Precision	Recall	F1	Sensitivity	minimum_read_support
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	567
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	567
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	567
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	566
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	566
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	566
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	565
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	565
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	565
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	564
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	564
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	564
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	563
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	563
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	563
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	562
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	562
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	562
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	561
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	561
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	561
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	560
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	560
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	560
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	559
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	559
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	559
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	558
