control	depth	Sequence_Identity	Algorithm	fusionType	fusion_type_count	recall_category
negative	100GB	95%	LongGF	reverse_order:tri_fusion	0	Partial_Recall
negative	100GB	95%	LongGF	reverse_order:truncated_tri_fusion	0	Partial_Recall
negative	100GB	95%	LongGF	tri_fusion	0	True_Recall
negative	100GB	95%	LongGF	truncated_tri_fusion	0	Partial_Recall
negative	100GB	95%	LongGF	wrong_order:tri_fusion	0	Partial_Recall
negative	10GB	85%	CTAT-LR-Fusion	chromosomal_misalignment:intra_chromosome	0	Partial_Recall
negative	10GB	85%	CTAT-LR-Fusion	false_fusion	15	False_Call
negative	10GB	85%	CTAT-LR-Fusion	false_fusion:mitochondrial	0	False_Call
negative	10GB	85%	CTAT-LR-Fusion	false_fusion:mitochondrial_genomic	0	False_Call
negative	10GB	85%	CTAT-LR-Fusion	false_fusion:self_misalignment	0	False_Call
negative	10GB	85%	CTAT-LR-Fusion	false_fusion:Sense-Antisense	0	False_Call
negative	10GB	85%	CTAT-LR-Fusion	hybrid	0	True_Recall
negative	10GB	85%	CTAT-LR-Fusion	intra_chromosome	0	True_Recall
negative	10GB	85%	CTAT-LR-Fusion	read_through	0	True_Recall
negative	10GB	85%	CTAT-LR-Fusion	reverse_order:hybrid	0	Partial_Recall
negative	10GB	85%	CTAT-LR-Fusion	reverse_order:intra_chromosome	0	Partial_Recall
negative	10GB	85%	CTAT-LR-Fusion	reverse_order:read_through	0	Partial_Recall
negative	10GB	85%	CTAT-LR-Fusion	reverse_order:tri_fusion	0	Partial_Recall
negative	10GB	85%	CTAT-LR-Fusion	reverse_order:truncated_tri_fusion	0	Partial_Recall
negative	10GB	85%	CTAT-LR-Fusion	tri_fusion	0	True_Recall
negative	10GB	85%	CTAT-LR-Fusion	truncated_tri_fusion	0	Partial_Recall
negative	10GB	85%	CTAT-LR-Fusion	wrong_order:tri_fusion	0	Partial_Recall
negative	10GB	85%	FusionSeeker	chromosomal_misalignment:intra_chromosome	0	Partial_Recall
negative	10GB	85%	FusionSeeker	false_fusion	106	False_Call
negative	10GB	85%	FusionSeeker	false_fusion:mitochondrial	0	False_Call
negative	10GB	85%	FusionSeeker	false_fusion:mitochondrial_genomic	2	False_Call
negative	10GB	85%	FusionSeeker	false_fusion:self_misalignment	0	False_Call
negative	10GB	85%	FusionSeeker	false_fusion:Sense-Antisense	8	False_Call
negative	10GB	85%	FusionSeeker	hybrid	0	True_Recall
negative	10GB	85%	FusionSeeker	intra_chromosome	0	True_Recall
negative	10GB	85%	FusionSeeker	read_through	0	True_Recall
negative	10GB	85%	FusionSeeker	reverse_order:hybrid	0	Partial_Recall
negative	10GB	85%	FusionSeeker	reverse_order:intra_chromosome	0	Partial_Recall
negative	10GB	85%	FusionSeeker	reverse_order:read_through	0	Partial_Recall
negative	10GB	85%	FusionSeeker	reverse_order:tri_fusion	0	Partial_Recall
negative	10GB	85%	FusionSeeker	reverse_order:truncated_tri_fusion	0	Partial_Recall
negative	10GB	85%	FusionSeeker	tri_fusion	0	True_Recall
negative	10GB	85%	FusionSeeker	truncated_tri_fusion	0	Partial_Recall
negative	10GB	85%	FusionSeeker	wrong_order:tri_fusion	0	Partial_Recall
