control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	minimum_read_support	FDR	Precision	Recall	F1	Sensitivity
negative	100GB	90%	Genion	1	0	400	231	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	5	0	400	231	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	231	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	3	0	400	231	1	0	0	NA	0
positive	100GB	85%	Genion	2	0	400	231	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	231	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	231	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	9	1	400	231	0.9	0.1	0.0025	0.004878048780487805	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	229	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	3	0	400	229	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	229	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	5	0	400	229	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	229	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	5	0	400	229	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	229	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	3	0	400	229	1	0	0	NA	0
positive	100GB	85%	Genion	2	0	400	229	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	229	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	229	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	9	1	400	229	0.9	0.1	0.0025	0.004878048780487805	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	228	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	3	0	400	228	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	228	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	5	0	400	228	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	228	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	6	0	400	228	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	228	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	3	0	400	228	1	0	0	NA	0
positive	100GB	85%	Genion	2	0	400	228	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	228	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	228	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	9	1	400	228	0.9	0.1	0.0025	0.004878048780487805	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	225	1	0	0	NA	0
